FBgn0000008	a	FBgn0269458
FBgn0050075	CG30075	FBgn0182809
FBgn0050076	CG30076	FBgn0196961
FBgn0050077	Blos1	FBgn0182823
FBgn0050080	CG30080	FBgn0196887
FBgn0050082	CG30082	FBgn0196890
FBgn0050083	CG30083	FBgn0196886
FBgn0050085	Rif1	FBgn0196878
FBgn0050087	CG30087	FBgn0182890
FBgn0050088	CG30088	FBgn0182889
FBgn0050089	CG30089	FBgn0182893
FBgn0050090	CG30090	FBgn0182888
FBgn0050091	CG30091	FBgn0182886
FBgn0050093	COX6AL	FBgn0182900
FBgn0050094	CG30094	FBgn0182920
FBgn0050095	CG30095	FBgn0182917
FBgn0050096	CG30096	FBgn0196832
FBgn0050098	CG30098	FBgn0196827
FBgn0050099	CG30099	FBgn0196834
FBgn0050100	CG30100	FBgn0268604
FBgn0050101	Vajk4	FBgn0196776
FBgn0050103	CG30103	FBgn0183025
FBgn0050105	CG30105	FBgn0196752
FBgn0050106	CCHa1-R	FBgn0196749
FBgn0050108	CG30108	FBgn0183049
FBgn0050109	CG30109	FBgn0183050
FBgn0050110	CG30110	FBgn0196726
FBgn0050115	GEFmeso	FBgn0196682
FBgn0050120	CG30120	FBgn0183135
FBgn0050122	CG30122	FBgn0196674
FBgn0050125	Ir56a	FBgn0196637
FBgn0050147	Hil	FBgn0196577
FBgn0050148	CG30148	FBgn0264784
FBgn0050151	CG30151	FBgn0196588
FBgn0050154	CG30154	FBgn0183261
FBgn0050156	CG30156	FBgn0182055
FBgn0050157	CG30157	FBgn0182058
FBgn0050158	CG30158	FBgn0182205
FBgn0050159	CG30159	FBgn0182211
FBgn0050161	CG30161	FBgn0196244
FBgn0050163	Cpr60D	FBgn0196245
FBgn0050169	Brca2	FBgn0183607
FBgn0050172	CG30172	FBgn0196293
FBgn0050177	CG30177	FBgn0183535
FBgn0050178	CG30178	FBgn0269198
FBgn0050181	ppk3	FBgn0186870
FBgn0050183	CG30183	FBgn0196336
FBgn0050184	CG30184	FBgn0183517
FBgn0050185	AIMP3	FBgn0183512
FBgn0050192	CG30192	FBgn0183480
FBgn0050195	CG30195	FBgn0196427
FBgn0050196	CG30196	FBgn0196424
FBgn0050197	CG30197	FBgn0182819
FBgn0050203	CG30203	FBgn0182616
FBgn0050222	CG30222	FBgn0183345
FBgn0050259	CG30259	FBgn0196420
FBgn0050263	stum	FBgn0183355
FBgn0050268	CG30268	FBgn0183439
FBgn0050269	CG30269	FBgn0183431
FBgn0050272	MFS1	FBgn0183450
FBgn0050273	CG30273	FBgn0183429
FBgn0050275	CG30275	FBgn0183437
FBgn0050277	Oatp58Da	FBgn0270214
FBgn0050278	CG30278	FBgn0269227
FBgn0050280	CG30280	FBgn0183384
FBgn0050281	CG30281	FBgn0183385
FBgn0050285	CG30285	FBgn0196486
FBgn0050286	CG30286	FBgn0196504
FBgn0050287	CG30287	FBgn0196503
FBgn0050288	CG30288	FBgn0196506
FBgn0050289	CG30289	FBgn0196505
FBgn0050290	Ppcdc	FBgn0183360
FBgn0050291	CG30291	FBgn0196548
FBgn0050293	Cht12	FBgn0196541
FBgn0050295	Ipk1	FBgn0183285
FBgn0050296	RIC-3	FBgn0183297
FBgn0050323	CG30323	FBgn0187104
FBgn0050324	CG30324	FBgn0196835
FBgn0050325	CG30325	FBgn0196727
FBgn0050334	CG30334	FBgn0197118
FBgn0050338	CG30338	FBgn0182436
FBgn0050339	CG30339	FBgn0181836
FBgn0050340	CG30340	FBgn0181837
FBgn0050342	Prp38	FBgn0182404
FBgn0050343	Tsen15	FBgn0189440
FBgn0050344	CG30344	FBgn0182405
FBgn0050345	CG30345	FBgn0182407
FBgn0050349	CG30349	FBgn0182379
FBgn0050350	CG30350	FBgn0182372
FBgn0050355	CG30355	FBgn0181923
FBgn0050356	CG30356	FBgn0181914
FBgn0050357	CG30357	FBgn0270310
FBgn0050359	Mal-A5	FBgn0182338
FBgn0050360	Mal-A6	FBgn0182340
FBgn0050361	mtt	FBgn0186941
FBgn0050363	cola	FBgn0186947
FBgn0050364	hubl	FBgn0186951
FBgn0050365	spaw	FBgn0186953
FBgn0050366	swif	FBgn0186948
FBgn0050369	CG30369	FBgn0182324
FBgn0050371	CG30371	FBgn0186954
FBgn0050372	Asap	FBgn0268428
FBgn0050373	CG30373	FBgn0181954
FBgn0050375	CG30375	FBgn0181948
FBgn0050376	CG30376	FBgn0181949
FBgn0050378	CG30378	FBgn0182296
FBgn0050379	CG30379	FBgn0182291
FBgn0050380	CG30380	FBgn0181984
FBgn0050381	PIG-X	FBgn0181986
FBgn0050383	CG30383	FBgn0270723
FBgn0050384	CG30384	FBgn0182236
FBgn0050385	CG30385	FBgn0182234
FBgn0050389	CG30389	FBgn0270579
FBgn0050390	Sgf29	FBgn0196521
FBgn0050392	CG30392	FBgn0196522
FBgn0050394	CG30394	FBgn0196516
FBgn0050395	CG30395	FBgn0268512
FBgn0050398	CG30398	FBgn0183363
FBgn0050401	dany	FBgn0196467
FBgn0050403	CG30403	FBgn0196482
FBgn0050404	Tango11	FBgn0196481
FBgn0050410	Rpi	FBgn0183492
FBgn0050411	CG30411	FBgn0183500
FBgn0050412	CG30412	FBgn0196376
FBgn0050413	CG30413	FBgn0196373
FBgn0050414	CG30414	FBgn0196367
FBgn0050416	CG30416	FBgn0196375
FBgn0050417	tbrd-3	FBgn0196374
FBgn0050418	nord	FBgn0183585
FBgn0050419	CG30419	FBgn0196280
FBgn0050421	Usp15-31	FBgn0183631
FBgn0050423	CG30423	FBgn0196227
FBgn0050428	CG30428	FBgn0183662
FBgn0050429	CG30429	FBgn0183661
FBgn0050431	CG30431	FBgn0182172
FBgn0050432	CG30432	FBgn0182102
FBgn0050438	Ugt50B3	FBgn0182147
FBgn0050441	IFT20	FBgn0182133
FBgn0050443	Opbp	FBgn0182184
FBgn0050446	Tdc2	FBgn0182084
FBgn0050447	CG30447	FBgn0183234
FBgn0050458	CG30458	FBgn0196781
FBgn0050460	CG30460	FBgn0196788
FBgn0050461	CG30461	FBgn0196796
FBgn0050462	ste24c	FBgn0186891
FBgn0050463	Pgant9	FBgn0196810
FBgn0050466	CG30466	FBgn0182885
FBgn0050467	CG30467	FBgn0182879
FBgn0050476	ave	FBgn0182831
FBgn0050480	CG30480	FBgn0269573
FBgn0050481	mRpL53	FBgn0182753
FBgn0050484	CG30484	FBgn0189445
FBgn0050485	CG30485	FBgn0182749
FBgn0050486	CG30486	FBgn0197089
FBgn0050487	CG30487	FBgn0197082
FBgn0050488	antr	FBgn0197090
FBgn0050491	CG30491	FBgn0182268
FBgn0050493	Coq9	FBgn0269393
FBgn0050495	CG30495	FBgn0182269
FBgn0050496	CG30496	FBgn0270361
FBgn0050499	Rpe	FBgn0182014
FBgn0050502	fa2h	FBgn0182032
FBgn0050503	CG30503	FBgn0067533
FBgn0051004	mesh	FBgn0188172
FBgn0051005	qless	FBgn0188104
FBgn0051007	CG31007	FBgn0188275
FBgn0051008	CG31008	FBgn0188286
FBgn0051010	CG31010	FBgn0188453
FBgn0051013	CG31013	FBgn0188493
FBgn0051014	PH4alphaSG1	FBgn0188579
FBgn0051015	PH4alphaPV	FBgn0188483
FBgn0051016	CG31016	FBgn0192963
FBgn0051017	PH4alphaNE3	FBgn0192962
FBgn0051019	CG31019	FBgn0192960
FBgn0051021	CG31021	FBgn0192961
FBgn0051025	Ppi1	FBgn0188904
FBgn0051028	CG31028	FBgn0188830
FBgn0051029	CG31029	FBgn0188893
FBgn0051030	CG31030	FBgn0188841
FBgn0051036	CG31036	FBgn0192915
FBgn0051038	CG31038	FBgn0192912
FBgn0051040	Cog7	FBgn0189085
FBgn0051041	CG31041	FBgn0189273
FBgn0051050	CG31050	FBgn0189567
FBgn0051051	CG31051	FBgn0189577
FBgn0051055	CG31055	FBgn0189608
FBgn0051064	CG31064	FBgn0189628
FBgn0051065	ppk31	FBgn0270883
FBgn0051068	CG31068	FBgn0186804
FBgn0051072	Lerp	FBgn0189659
FBgn0051075	CG31075	FBgn0189649
FBgn0051076	CG31076	FBgn0269894
FBgn0051077	CG31077	FBgn0192757
FBgn0051080	TwdlH	FBgn0192733
FBgn0051081	TwdlR	FBgn0192734
FBgn0051087	CG31087	FBgn0189744
FBgn0051088	CG31088	FBgn0189329
FBgn0051089	CG31089	FBgn0192697
FBgn0051091	CG31091	FBgn0192696
FBgn0051093	CG31093	FBgn0189702
FBgn0051098	CG31098	FBgn0189750
FBgn0051099	CG31099	FBgn0189745
FBgn0051100	CG31100	FBgn0192292
FBgn0051102	CG31102	FBgn0189749
FBgn0051103	CG31103	FBgn0192638
FBgn0051105	ppk22	FBgn0189792
FBgn0051106	CG31106	FBgn0192637
FBgn0051108	TTLL5	FBgn0189768
FBgn0051109	CG31109	FBgn0189776
FBgn0051111	CG31111	FBgn0189774
FBgn0051115	CG31115	FBgn0192610
FBgn0051116	ClC-a	FBgn0192099
FBgn0051118	RabX4	FBgn0189798
FBgn0051119	HDAC11	FBgn0189794
FBgn0051121	CG31121	FBgn0189787
FBgn0051122	CG31122	FBgn0269932
FBgn0051125	CG31125	FBgn0189811
FBgn0051126	CG31126	FBgn0192573
FBgn0051133	Slimp	FBgn0189851
FBgn0051139	CG31139	FBgn0189950
FBgn0051140	CG31140	FBgn0192505
FBgn0051141	CG31141	FBgn0192498
FBgn0051145	CG31145	FBgn0189894
FBgn0051146	Nlg1	FBgn0191425
FBgn0051148	Gba1a	FBgn0192482
FBgn0051151	wge	FBgn0189960
FBgn0051155	Rpb7	FBgn0191847
FBgn0051156	CG31156	FBgn0189967
FBgn0051157	CG31157	FBgn0190390
FBgn0051158	Efa6	FBgn0192422
FBgn0051159	mRRF2	FBgn0192424
FBgn0051161	CG31161	FBgn0269948
FBgn0051163	SKIP	FBgn0192386
FBgn0051164	Ir94a	FBgn0186844
FBgn0051174	CG31174	FBgn0190018
FBgn0051176	CG31176	FBgn0191450
FBgn0051183	CG31183	FBgn0191794
FBgn0051184	LSm3	FBgn0192508
FBgn0051189	CG31189	FBgn0191500
FBgn0051191	CG31191	FBgn0191504
FBgn0051195	CG31195	FBgn0191518
FBgn0051198	CG31198	FBgn0192354
FBgn0051199	CG31199	FBgn0191520
FBgn0051200	CG31200	FBgn0191519
FBgn0051201	GluRIIE	FBgn0191528
FBgn0051202	alpha-Man-Ic	FBgn0189094
FBgn0051204	CG31204	FBgn0188073
FBgn0051205	CG31205	FBgn0190870
FBgn0051206	CG31206	FBgn0191559
FBgn0051211	CG31211	FBgn0190307
FBgn0051213	CG31213	FBgn0190828
FBgn0051216	Naam	FBgn0190811
FBgn0051217	modSP	FBgn0191746
FBgn0051219	CG31219	FBgn0190809
FBgn0051220	CG31220	FBgn0190808
FBgn0051221	CG31221	FBgn0190795
FBgn0051223	CG31223	FBgn0190878
FBgn0051224	CG31224	FBgn0191638
FBgn0051225	Ir94f	FBgn0192472
FBgn0051226	CG31226	FBgn0191628
FBgn0051229	CG31229	FBgn0190746
FBgn0051230	CG31230	FBgn0268751
FBgn0051231	CG31231	FBgn0190744
FBgn0051233	CG31233	FBgn0192353
FBgn0051244	CG31244	FBgn0191594
FBgn0051245	CG31245	FBgn0191596
FBgn0051248	CG31248	FBgn0270534
FBgn0051249	CG31249	FBgn0186767
FBgn0051251	CG31251	FBgn0186768
FBgn0051262	CG31262	FBgn0191720
FBgn0051265	CG31265	FBgn0190646
FBgn0051266	CG31266	FBgn0190647
FBgn0051267	CG31267	FBgn0190648
FBgn0051269	CG31269	FBgn0190645
FBgn0051272	CG31272	FBgn0192173
FBgn0051278	CG31278	FBgn0192179
FBgn0051279	CG31279	FBgn0190602
FBgn0051281	Tpl94D	FBgn0192445
FBgn0051286	CG31286	FBgn0191373
FBgn0051287	CG31287	FBgn0190588
FBgn0051288	CG31288	FBgn0189747
FBgn0051294	CG31294	FBgn0191807
FBgn0051296	CG31296	FBgn0191813
FBgn0051301	CG31301	FBgn0190523
FBgn0051313	CG31313	FBgn0191886
FBgn0051320	HEATR2	FBgn0191898
FBgn0051321	CG31321	FBgn0190465
FBgn0051323	CG31323	FBgn0192714
FBgn0051324	CG31324	FBgn0192712
FBgn0051326	CG31326	FBgn0191914
FBgn0051337	CG31337	FBgn0191962
FBgn0051342	CG31342	FBgn0190380
FBgn0051343	CG31343	FBgn0192352
FBgn0051344	CG31344	FBgn0191846
FBgn0051345	CG31345	FBgn0192009
FBgn0051347	CG31347	FBgn0192017
FBgn0051357	CG31357	FBgn0189797
FBgn0051358	CG31358	FBgn0192075
FBgn0051361	dpr17	FBgn0190317
FBgn0051363	Jupiter	FBgn0192119
FBgn0051365	CG31365	FBgn0189930
FBgn0051368	CG31368	FBgn0190305
FBgn0051370	CG31370	FBgn0192662
FBgn0051371	CG31371	FBgn0188590
FBgn0051373	CG31373	FBgn0192178
FBgn0051374	sals	FBgn0192124
FBgn0051380	CG31380	FBgn0189703
FBgn0051388	CG31388	FBgn0192140
FBgn0051390	MED7	FBgn0192172
FBgn0051404	CG31404	FBgn0191597
FBgn0051406	CG31406	FBgn0190210
FBgn0051407	CG31407	FBgn0192208
FBgn0051410	Npc2e	FBgn0190183
FBgn0051413	Qsox4	FBgn0192484
FBgn0051414	Gba1b	FBgn0192485
FBgn0051423	Ir94c	FBgn0190002
FBgn0051424	Ir94b	FBgn0189501
FBgn0051431	CG31431	FBgn0192361
FBgn0051437	CG31437	FBgn0192667
FBgn0051438	CheB93b	FBgn0190925
FBgn0051439	Muc96D	FBgn0269691
FBgn0051441	CG31441	FBgn0192139
FBgn0051445	CG31445	FBgn0189409
FBgn0051446	CG31446	FBgn0190543
FBgn0051450	mRpS18A	FBgn0192321
FBgn0051453	pch2	FBgn0192322
FBgn0051457	CG31457	FBgn0189929
FBgn0051459	CG31459	FBgn0190817
FBgn0051460	CG31460	FBgn0190071
FBgn0051463	CG31463	FBgn0190056
FBgn0051464	CG31464	FBgn0190055
FBgn0051465	CG31465	FBgn0192366
FBgn0051469	CG31469	FBgn0191949
FBgn0051472	sgll	FBgn0191434
FBgn0051473	CG31473	FBgn0191435
FBgn0051475	CG31475	FBgn0190780
FBgn0051477	ATPsynepsilonL	FBgn0190192
FBgn0051481	pb	FBgn0191020
FBgn0051482	CG31482	FBgn0191369
FBgn0051493	CG31493	FBgn0191397
FBgn0051495	CG31495	FBgn0191943
FBgn0051496	CG31496	FBgn0191413
FBgn0051501	nxf4	FBgn0191414
FBgn0051510	CG31510	FBgn0189767
FBgn0051515	CG31515	FBgn0189911
FBgn0051516	CG31516	FBgn0191189
FBgn0051522	CG31522	FBgn0191167
FBgn0051523	CG31523	FBgn0191166
FBgn0051525	CG31525	FBgn0191221
FBgn0051526	lncRNA:CR31526	FBgn0189322
FBgn0051528	CG31528	FBgn0191219
FBgn0051538	CG31538	FBgn0270797
FBgn0051542	CG31542	FBgn0191268
FBgn0051546	CG31546	FBgn0191088
FBgn0051547	NKCC	FBgn0191105
FBgn0051551	CG31551	FBgn0191291
FBgn0051559	CG31559	FBgn0191052
FBgn0051560	CG31560	FBgn0191342
FBgn0051561	Osi16	FBgn0191348
FBgn0051601	CG31601	FBgn0193046
FBgn0051606	CG31606	FBgn0194885
FBgn0051609	CG31609	FBgn0194964
FBgn0051612	CG31612	FBgn0193054
FBgn0051626	CG31626	FBgn0269064
FBgn0051627	CG31627	FBgn0195655
FBgn0051632	sens-2	FBgn0194816
FBgn0051633	CG31633	FBgn0193960
FBgn0051634	Oatp26F	FBgn0193962
FBgn0051635	CG31635	FBgn0193961
FBgn0051636	CG31636	FBgn0193959
FBgn0051637	CG31637	FBgn0194801
FBgn0051638	CG31638	FBgn0194798
FBgn0051642	CG31642	FBgn0270014
FBgn0051643	CG31643	FBgn0194764
FBgn0051644	CG31644	FBgn0194027
FBgn0051646	DIP-theta	FBgn0194037
FBgn0051648	CG31648	FBgn0194734
FBgn0051659	CG31659	FBgn0194305
FBgn0051660	smog	FBgn0194691
FBgn0051661	CG31661	FBgn0194491
FBgn0051663	CG31663	FBgn0194281
FBgn0051664	CG31664	FBgn0194284
FBgn0051665	wry	FBgn0194507
FBgn0051673	CG31673	FBgn0195632
FBgn0051674	CG31674	FBgn0195634
FBgn0051675	CG31675	FBgn0195639
FBgn0051676	CG31676	FBgn0195635
FBgn0051677	CG31677	FBgn0189347
FBgn0051678	CG31678	FBgn0193113
FBgn0051679	Tengl3	FBgn0194250
FBgn0051680	CG31680	FBgn0270541
FBgn0051681	CG31681	FBgn0189372
FBgn0051682	Tengl1	FBgn0194248
FBgn0051690	CG31690	FBgn0194561
FBgn0051693	CG31693	FBgn0195687
FBgn0051694	CG31694	FBgn0194187
FBgn0051697	CG31697	FBgn0268209
FBgn0051698	CG31698	FBgn0194165
FBgn0051706	CG31706	FBgn0193576
FBgn0051708	DIP-zeta	FBgn0193771
FBgn0051709	CG31709	FBgn0270578
FBgn0051710	CG31710	FBgn0193750
FBgn0051712	CG31712	FBgn0193729
FBgn0051713	Apf	FBgn0183715
FBgn0051715	CG31715	FBgn0195057
FBgn0051716	Cnot4	FBgn0195070
FBgn0051717	CG31717	FBgn0195045
FBgn0051718	Ir31a	FBgn0195071
FBgn0051719	RluA-1	FBgn0193661
FBgn0051720	mthl15	FBgn0193699
FBgn0051721	Trim9	FBgn0195093
FBgn0051729	CG31729	FBgn0195255
FBgn0051730	CG31730	FBgn0193489
FBgn0051735	CG31735	FBgn0195385
FBgn0051739	AspRS-m	FBgn0195444
FBgn0051740	CG31740	FBgn0269152
FBgn0051741	CG31741	FBgn0195484
FBgn0051742	Prosbeta5R2	FBgn0195476
FBgn0051752	CG31752	FBgn0193225
FBgn0051755	SoYb	FBgn0193719
FBgn0051759	CG31759	FBgn0270189
FBgn0051760	CG31760	FBgn0195195
FBgn0051773	CG31773	FBgn0194119
FBgn0051774	fred	FBgn0194118
FBgn0051776	CG31776	FBgn0194624
FBgn0051777	CG31777	FBgn0194127
FBgn0051778	CG31778	FBgn0194128
FBgn0051779	Acp24A4	FBgn0083474
FBgn0051784	CG31784	FBgn0193297
FBgn0051785	CG31785	FBgn0193264
FBgn0051787	CG31787	FBgn0193255
FBgn0051788	CG31788	FBgn0193256
FBgn0051789	CG31789	FBgn0195498
FBgn0051797	CG31797	FBgn0193190
FBgn0051798	CG31798	FBgn0195550
FBgn0051800	CG31800	FBgn0193207
FBgn0051802	CG31802	FBgn0193258
FBgn0051803	Rsph9	FBgn0193290
FBgn0051804	CG31804	FBgn0268312
FBgn0051805	CG31805	FBgn0193304
FBgn0051806	CG31806	FBgn0269474
FBgn0051807	CG31807	FBgn0193323
FBgn0051812	Tsen2	FBgn0195431
FBgn0051813	nur	FBgn0195284
FBgn0051814	DIP-kappa	FBgn0193464
FBgn0051815	CG31815	FBgn0195419
FBgn0051816	CG31816	FBgn0195417
FBgn0051821	CG31821	FBgn0269321
FBgn0051823	CG31823	FBgn0193348
FBgn0051826	CG31826	FBgn0193354
FBgn0051832	CG31832	FBgn0270123
FBgn0051848	CG31848	FBgn0193488
FBgn0051849	Mgat3	FBgn0193496
FBgn0051851	Naa20B	FBgn0195252
FBgn0051852	Tap42	FBgn0195262
FBgn0051855	CG31855	FBgn0195263
FBgn0051858	t-cup	FBgn0193524
FBgn0051860	ZnT33D	FBgn0270116
FBgn0051861	CG31861	FBgn0268821
FBgn0051862	CG31862	FBgn0195200
FBgn0051867	CG31867	FBgn0268118
FBgn0051869	CG31869	FBgn0193634
FBgn0051870	CG31870	FBgn0195106
FBgn0051871	CG31871	FBgn0195096
FBgn0051874	Fum4	FBgn0270852
FBgn0051875	CG31875	FBgn0193720
FBgn0051876	Cpr30F	FBgn0193730
FBgn0051882	CG31882	FBgn0193753
FBgn0051897	CG31897	FBgn0194922
FBgn0051898	CG31898	FBgn0194916
FBgn0051901	Mur29B	FBgn0194906
FBgn0051902	Spn28Da	FBgn0193860
FBgn0051907	Mst27D	FBgn0193917
FBgn0051908	CG31908	FBgn0193919
FBgn0051910	CG31910	FBgn0193947
FBgn0051915	CG31915	FBgn0268609
FBgn0051922	CG31922	FBgn0194468
FBgn0051924	CG31924	FBgn0194307
FBgn0051926	CG31926	FBgn0194490
FBgn0051928	CG31928	FBgn0194488
FBgn0051933	CG31933	FBgn0194286
FBgn0051935	CG31935	FBgn0194297
FBgn0051949	CG31949	FBgn0194535
FBgn0051950	Sbat	FBgn0194581
FBgn0051954	CG31954	FBgn0194146
FBgn0051955	CG31955	FBgn0194125
FBgn0051956	Pgant4	FBgn0194625
FBgn0051957	CG31957	FBgn0194122
FBgn0051961	TBCC	FBgn0183731
FBgn0051973	Cda5	FBgn0194386
FBgn0051974	CG31974	FBgn0194377
FBgn0051975	CG31975	FBgn0194378
FBgn0051976	ovm	FBgn0194379
FBgn0051989	Cap-D3	FBgn0187536
FBgn0051992	gw	FBgn0195715
FBgn0051997	CG31997	FBgn0195732
FBgn0051998	CG31998	FBgn0193420
FBgn0051999	CG31999	FBgn0270101
FBgn0052000	anne	FBgn0195738
FBgn0052006	CG32006	FBgn0268559
FBgn0052016	4E-T	FBgn0195711
FBgn0052017	CG32017	FBgn0268680
FBgn0052022	CG32022	FBgn0184690
FBgn0052024	CG32024	FBgn0185819
FBgn0052026	CG32026	FBgn0185822
FBgn0052029	Cpr66D	FBgn0185807
FBgn0052036	CG32036	FBgn0184642
FBgn0052037	CG32037	FBgn0184641
FBgn0052039	CG32039	FBgn0185857
FBgn0052040	CG32040	FBgn0270347
FBgn0052053	CG32053	FBgn0184600
FBgn0052055	CG32055	FBgn0184593
FBgn0052056	scramb1	FBgn0184592
FBgn0052057	dpr10	FBgn0184596
FBgn0052058	Ir67c	FBgn0184587
FBgn0052061	CG32061	FBgn0185928
FBgn0052062	Rbfox1	FBgn0185930
FBgn0052066	CG32066	FBgn0184580
FBgn0052068	Adi1	FBgn0185940
FBgn0052069	CG32069	FBgn0184559
FBgn0052075	CG32075	FBgn0184558
FBgn0052076	Alg10	FBgn0185976
FBgn0052079	CG32079	FBgn0185957
FBgn0052082	IRSp53	FBgn0185974
FBgn0052085	CG32085	FBgn0184513
FBgn0052086	CG32086	FBgn0184523
FBgn0052087	CG32087	FBgn0186011
FBgn0052088	sunn	FBgn0186010
FBgn0052091	CG32091	FBgn0186003
FBgn0052095	CG32095	FBgn0184499
FBgn0052099	CG32099	FBgn0269190
FBgn0052100	CG32100	FBgn0186052
FBgn0052102	CG32102	FBgn0189470
FBgn0052103	SCaMC	FBgn0184450
FBgn0052104	CG32104	FBgn0184452
FBgn0052105	Lmx1a	FBgn0186056
FBgn0052106	CG32106	FBgn0184427
FBgn0052107	CG32107	FBgn0184418
FBgn0052109	CG32109	FBgn0186083
FBgn0052110	CG32110	FBgn0270434
FBgn0052112	CG32112	FBgn0186082
FBgn0052113	Vps13D	FBgn0186085
FBgn0052115	CG32115	FBgn0184414
FBgn0052117	CG32117	FBgn0184416
FBgn0052119	CG32119	FBgn0184399
FBgn0052121	CG32121	FBgn0184392
FBgn0052133	Ptip	FBgn0184364
FBgn0052137	CG32137	FBgn0186146
FBgn0052141	saturn	FBgn0186166
FBgn0052150	meru	FBgn0184260
FBgn0052152	CG32152	FBgn0269754
FBgn0052161	CG32161	FBgn0186348
FBgn0052163	CG32163	FBgn0186328
FBgn0052170	CG32170	FBgn0189193
FBgn0052174	Coq4	FBgn0184137
FBgn0052176	CG32176	FBgn0186383
FBgn0052177	Ndfip	FBgn0184121
FBgn0052179	Krn	FBgn0184120
FBgn0052181	CG32181	FBgn0186402
FBgn0052182	CG32182	FBgn0186401
FBgn0052183	Ccn	FBgn0186400
FBgn0052185	edin	FBgn0186388
FBgn0052187	CG32187	FBgn0184107
FBgn0052190	NUCB1	FBgn0184109
FBgn0052191	CG32191	FBgn0184106
FBgn0052195	CG32195	FBgn0186420
FBgn0052199	CG32199	FBgn0186433
FBgn0052201	CG32201	FBgn0186432
FBgn0052202	CG32202	FBgn0186438
FBgn0052203	Spn75F	FBgn0250856
FBgn0052204	CG32204	FBgn0184048
FBgn0052206	CG32206	FBgn0184020
FBgn0052212	CG32212	FBgn0269101
FBgn0052219	CG32219	FBgn0188780
FBgn0052220	Csas	FBgn0183971
FBgn0052221	CG32221	FBgn0186504
FBgn0052225	CG32225	FBgn0183937
FBgn0052226	Pex23	FBgn0183938
FBgn0052227	gogo	FBgn0183941
FBgn0052228	CG32228	FBgn0186542
FBgn0052232	CG32232	FBgn0184940
FBgn0052237	CG32237	FBgn0184947
FBgn0052238	TTLL1B	FBgn0185554
FBgn0052240	CG32240	FBgn0184981
FBgn0052241	CG32241	FBgn0184977
FBgn0052243	CG32243	FBgn0184967
FBgn0052246	CG32246	FBgn0185551
FBgn0052248	CG32248	FBgn0185545
FBgn0052249	CG32249	FBgn0185544
FBgn0052250	PMP34	FBgn0185535
FBgn0052251	Claspin	FBgn0185534
FBgn0052255	Gr64f	FBgn0185504
FBgn0052259	CG32259	FBgn0185508
FBgn0052260	CG32260	FBgn0185515
FBgn0052262	CG32262	FBgn0185035
FBgn0052263	CG32263	FBgn0185034
FBgn0052264	CG32264	FBgn0185040
FBgn0052266	CG32266	FBgn0185478
FBgn0052267	CG32267	FBgn0185044
FBgn0052269	CG32269	FBgn0185057
FBgn0052270	CG32270	FBgn0185056
FBgn0052271	CG32271	FBgn0189153
FBgn0052274	Drsl1	FBgn0084346
FBgn0052277	CG32277	FBgn0185059
FBgn0052280	CG32280	FBgn0185438
FBgn0052281	CG32281	FBgn0185439
FBgn0052282	Drsl4	FBgn0085095
FBgn0052283	Drsl3	FBgn0084247
FBgn0052284	CG32284	FBgn0185442
FBgn0052296	Mrtf	FBgn0185089
FBgn0052298	CG32298	FBgn0185105
FBgn0052299	CG32299	FBgn0185106
FBgn0052302	CG32302	FBgn0185384
FBgn0052304	obst-I	FBgn0185383
FBgn0052311	zormin	FBgn0189155
FBgn0052313	CG32313	FBgn0185179
FBgn0052319	Naa30B	FBgn0185187
FBgn0052320	CG32320	FBgn0185326
FBgn0052333	CG32333	FBgn0185312
FBgn0052343	Atac3	FBgn0196997
FBgn0052344	CG32344	FBgn0196998
FBgn0052351	S-Lap2	FBgn0185805
FBgn0052354	CG32354	FBgn0184714
FBgn0052364	tut	FBgn0189140
FBgn0052365	CG32365	FBgn0185731
FBgn0052368	CG32368	FBgn0185736
FBgn0052369	CG32369	FBgn0184755
FBgn0052371	CG32371	FBgn0269406
FBgn0052373	CG32373	FBgn0185729
FBgn0052379	CG32379	FBgn0185709
FBgn0052380	SMSr	FBgn0184783
FBgn0052391	CG32391	FBgn0184815
FBgn0052392	Rsph3	FBgn0184831
FBgn0052396	CG32396	FBgn0185656
FBgn0052404	Cpr65Aw	FBgn0184868
FBgn0052405	Cpr65Av	FBgn0184869
FBgn0052406	PVRAP	FBgn0185613
FBgn0052407	CG32407	FBgn0185609
FBgn0052409	CG32409	FBgn0185606
FBgn0052412	QC	FBgn0184892
FBgn0052413	CG32413	FBgn0184891
FBgn0052418	vito	FBgn0184898
FBgn0052423	shep	FBgn0184928
FBgn0052425	CG32425	FBgn0186569
FBgn0052428	CG32428	FBgn0183918
FBgn0052432	CG32432	FBgn0183892
FBgn0052436	CG32436	FBgn0186626
FBgn0052437	CG32437	FBgn0186627
FBgn0052438	SMC5	FBgn0186647
FBgn0052440	CG32440	FBgn0186628
FBgn0052441	EMC10	FBgn0189199
FBgn0052442	Arv1	FBgn0183848
FBgn0052445	CG32445	FBgn0186655
FBgn0052446	Atox1	FBgn0186656
FBgn0052447	CG32447	FBgn0183834
FBgn0052448	CG32448	FBgn0183822
FBgn0052450	CG32450	FBgn0186698
FBgn0052451	SPoCk	FBgn0186723
FBgn0052452	CG32452	FBgn0186720
FBgn0052457	CG32457	FBgn0189500
FBgn0052459	CG32459	FBgn0183790
FBgn0052461	CG32461	FBgn0183786
